YearStart,YearEnd,LocationAbbr,State,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Sex,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,AK,Alaska,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2011,Value,21.7,21.7,,,19.1,24.6,1702,,,,Female,,,"(64.845079957001, -147.722059036)",PA,PA1,Q044,VALUE,2,Sex,Female,SEX,FEMALE
2011,2011,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011,Value,28,28,,,24.9,31.3,1620,,,,Male,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Sex,Male,SEX,MALE
2011,2011,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011,Value,26.7,26.7,,,23.9,29.7,1716,,,,Female,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Sex,Female,SEX,FEMALE
2016,2016,US,National,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,2016,Value,41,41,,,40.6,41.5,198440,,,,Male,,,,OWS,OWS1,Q037,VALUE,59,Sex,Male,SEX,MALE
2011,2011,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,2011,Value,31.3,31.3,,,28.1,34.6,1716,,,,Female,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q037,VALUE,2,Sex,Female,SEX,FEMALE
2011,2011,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,2011,Value,45.3,45.3,,,41.8,48.9,1620,,,,Male,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q037,VALUE,2,Sex,Male,SEX,MALE
2011,2011,AK,Alaska,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,2011,Value,24,24,,,21.3,27.1,1806,,,,Female,,,"(64.845079957001, -147.722059036)",PA,PA1,Q047,VALUE,2,Sex,Female,SEX,FEMALE
2011,2011,AK,Alaska,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2011,Value,28.1,28.1,,,24.8,31.6,1464,,,,Male,,,"(64.845079957001, -147.722059036)",PA,PA1,Q044,VALUE,2,Sex,Male,SEX,MALE
2011,2011,AK,Alaska,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,2011,Value,20.1,20.1,,,17.7,22.7,1543,,,,Male,,,"(64.845079957001, -147.722059036)",PA,PA1,Q047,VALUE,2,Sex,Male,SEX,MALE
2011,2011,AK,Alaska,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,Value,37.5,37.5,,,34.3,40.8,1718,,,,Female,,,"(64.845079957001, -147.722059036)",PA,PA1,Q045,VALUE,2,Sex,Female,SEX,FEMALE
